project_id,project_name,contract_duration,country,technology,counterparty,start_year,screening_date,offered_volume_year_1,offered_volume_year_2,offered_volume_year_3,offered_volume_year_4,offered_volume_year_5,offered_volume_year_6,offered_volume_year_7,offered_volume_year_8,offered_volume_year_9,offered_volume_year_10,risk_bucket_1_factor_1,risk_bucket_1_weight_1,risk_bucket_1_factor_2,risk_bucket_1_weight_2,risk_bucket_1_factor_3,risk_bucket_1_weight_3,risk_bucket_1_factor_4,risk_bucket_1_weight_4,risk_bucket_1_factor_5,risk_bucket_1_weight_5,risk_bucket_2_factor_1,risk_bucket_2_weight_1,risk_bucket_2_factor_2,risk_bucket_2_weight_2,risk_bucket_2_factor_3,risk_bucket_2_weight_3,risk_bucket_2_factor_4,risk_bucket_2_weight_4,risk_bucket_2_factor_5,risk_bucket_2_weight_5,risk_bucket_3_factor_1,risk_bucket_3_weight_1,risk_bucket_3_factor_2,risk_bucket_3_weight_2,risk_bucket_3_factor_3,risk_bucket_3_weight_3,risk_bucket_3_factor_4,risk_bucket_3_weight_4,risk_bucket_3_factor_5,risk_bucket_3_weight_5,risk_bucket_4_factor_1,risk_bucket_4_weight_1,risk_bucket_4_factor_2,risk_bucket_4_weight_2,risk_bucket_4_factor_3,risk_bucket_4_weight_3,risk_bucket_4_factor_4,risk_bucket_4_weight_4,risk_bucket_4_factor_5,risk_bucket_4_weight_5,risk_bucket_5_factor_1,risk_bucket_5_weight_1,risk_bucket_5_factor_2,risk_bucket_5_weight_2,risk_bucket_5_factor_3,risk_bucket_5_weight_3,risk_bucket_5_factor_4,risk_bucket_5_weight_4,risk_bucket_5_factor_5,risk_bucket_5_weight_5
1,Sustainable Nature's Way Site C,2,Mexico,Waste-to-Energy,Non-Profit Organization,2012,2024-06-04,106324.0,754427.0,,,,,,,,,6,0.21850491775745717,0,0.21015280827875044,1,0.20140072973460818,2,0.20783517421714315,9,0.16210637001204087,6,0.21850491775745717,9,0.21015280827875044,0,0.20140072973460818,3,0.20783517421714315,7,0.16210637001204087,2,0.21850491775745717,1,0.21015280827875044,9,0.20140072973460818,9,0.20783517421714315,0,0.16210637001204087,1,0.21850491775745717,0,0.21015280827875044,5,0.20140072973460818,3,0.20783517421714315,1,0.16210637001204087,6,0.21850491775745717,9,0.21015280827875044,1,0.20140072973460818,0,0.20783517421714315,1,0.16210637001204087
2,EcoEnergy Corp. Biofuel Reserve,9,Brazil,Sustainable Agriculture,Government Agency,2006,2024-06-04,755961.0,295586.0,460374.0,536396.0,835598.0,235281.0,739688.0,215958.0,751312.0,,7,0.21850491775745717,4,0.21015280827875044,0,0.20140072973460818,7,0.20783517421714315,2,0.16210637001204087,0,0.21850491775745717,8,0.21015280827875044,0,0.20140072973460818,8,0.20783517421714315,4,0.16210637001204087,9,0.21850491775745717,3,0.21015280827875044,8,0.20140072973460818,4,0.20783517421714315,2,0.16210637001204087,7,0.21850491775745717,9,0.21015280827875044,9,0.20140072973460818,1,0.20783517421714315,9,0.16210637001204087,7,0.21850491775745717,2,0.21015280827875044,6,0.20140072973460818,9,0.20783517421714315,5,0.16210637001204087
3,Conservation West BioEnergy Systems,9,France,Water Conservation,Private Company,2009,2024-06-04,215927.0,917347.0,159754.0,313121.0,886906.0,299107.0,847127.0,631542.0,568540.0,,0,0.21850491775745717,10,0.21015280827875044,1,0.20140072973460818,8,0.20783517421714315,10,0.16210637001204087,6,0.21850491775745717,6,0.21015280827875044,5,0.20140072973460818,6,0.20783517421714315,10,0.16210637001204087,4,0.21850491775745717,0,0.21015280827875044,9,0.20140072973460818,5,0.20783517421714315,10,0.16210637001204087,8,0.21850491775745717,7,0.21015280827875044,5,0.20140072973460818,8,0.20783517421714315,9,0.16210637001204087,10,0.21850491775745717,10,0.21015280827875044,5,0.20140072973460818,2,0.20783517421714315,5,0.16210637001204087
4,North GreenTech Inc. Wind,4,USA,Green Building Practices,NGO,2001,2024-06-04,157224.0,678088.0,255442.0,866597.0,,,,,,,7,0.21850491775745717,4,0.21015280827875044,8,0.20140072973460818,9,0.20783517421714315,3,0.16210637001204087,4,0.21850491775745717,2,0.21015280827875044,4,0.20140072973460818,5,0.20783517421714315,7,0.16210637001204087,7,0.21850491775745717,9,0.21015280827875044,4,0.20140072973460818,1,0.20783517421714315,7,0.16210637001204087,9,0.21850491775745717,2,0.21015280827875044,4,0.20140072973460818,8,0.20783517421714315,9,0.16210637001204087,0,0.21850491775745717,8,0.21015280827875044,10,0.20140072973460818,9,0.20783517421714315,1,0.16210637001204087
5,Geothermal Clean Power Co. Site A,3,Germany,Waste-to-Energy,Community Group,2000,2024-06-04,632511.0,823786.0,838680.0,,,,,,,,4,0.21850491775745717,7,0.21015280827875044,4,0.20140072973460818,2,0.20783517421714315,1,0.16210637001204087,10,0.21850491775745717,6,0.21015280827875044,8,0.20140072973460818,9,0.20783517421714315,2,0.16210637001204087,2,0.21850491775745717,5,0.21015280827875044,7,0.20140072973460818,10,0.20783517421714315,8,0.16210637001204087,7,0.21850491775745717,6,0.21015280827875044,1,0.20140072973460818,10,0.20783517421714315,3,0.16210637001204087,0,0.21850491775745717,4,0.21015280827875044,0,0.20140072973460818,9,0.20783517421714315,6,0.16210637001204087
6,Park ClimateCare Ltd. Recycling,1,Mexico,Sustainable Agriculture,Non-Profit Organization,2000,2024-06-04,856717.0,,,,,,,,,,8,0.21850491775745717,2,0.21015280827875044,0,0.20140072973460818,4,0.20783517421714315,9,0.16210637001204087,4,0.21850491775745717,5,0.21015280827875044,0,0.20140072973460818,10,0.20783517421714315,7,0.16210637001204087,3,0.21850491775745717,0,0.21015280827875044,8,0.20140072973460818,8,0.20783517421714315,1,0.16210637001204087,7,0.21850491775745717,7,0.21015280827875044,2,0.20140072973460818,0,0.20783517421714315,3,0.16210637001204087,2,0.21850491775745717,3,0.21015280827875044,0,0.20140072973460818,9,0.20783517421714315,1,0.16210637001204087
7,EarthFirst Energy Site D Wind,9,USA,Green Building Practices,Non-Profit Organization,2012,2024-06-04,535814.0,124972.0,291282.0,371306.0,554491.0,433476.0,168622.0,481725.0,611037.0,,6,0.21850491775745717,9,0.21015280827875044,10,0.20140072973460818,8,0.20783517421714315,3,0.16210637001204087,6,0.21850491775745717,0,0.21015280827875044,6,0.20140072973460818,5,0.20783517421714315,0,0.16210637001204087,8,0.21850491775745717,0,0.21015280827875044,9,0.20140072973460818,7,0.20783517421714315,9,0.16210637001204087,0,0.21850491775745717,3,0.21015280827875044,4,0.20140072973460818,1,0.20783517421714315,9,0.16210637001204087,9,0.21850491775745717,5,0.21015280827875044,10,0.20140072973460818,1,0.20783517421714315,6,0.16210637001204087
8,Nature's Way Reserve Sustainable,7,Canada,Carbon Capture,Private Company,2003,2024-06-04,898423.0,771432.0,712904.0,864474.0,415978.0,349858.0,274646.0,,,,3,0.21850491775745717,5,0.21015280827875044,7,0.20140072973460818,8,0.20783517421714315,5,0.16210637001204087,3,0.21850491775745717,5,0.21015280827875044,5,0.20140072973460818,3,0.20783517421714315,6,0.16210637001204087,8,0.21850491775745717,1,0.21015280827875044,7,0.20140072973460818,0,0.20783517421714315,3,0.16210637001204087,10,0.21850491775745717,4,0.21015280827875044,5,0.20140072973460818,10,0.20783517421714315,0,0.16210637001204087,8,0.21850491775745717,9,0.21015280827875044,7,0.20140072973460818,0,0.20783517421714315,5,0.16210637001204087
9,Solar Clean Power Co. Site D,5,Russia,Waste-to-Energy,Community Group,2002,2024-06-04,330207.0,248125.0,807708.0,888924.0,637283.0,,,,,,9,0.21850491775745717,2,0.21015280827875044,2,0.20140072973460818,6,0.20783517421714315,0,0.16210637001204087,0,0.21850491775745717,1,0.21015280827875044,6,0.20140072973460818,6,0.20783517421714315,6,0.16210637001204087,6,0.21850491775745717,10,0.21015280827875044,9,0.20140072973460818,8,0.20783517421714315,4,0.16210637001204087,5,0.21850491775745717,9,0.21015280827875044,3,0.20140072973460818,9,0.20783517421714315,0,0.16210637001204087,7,0.21850491775745717,8,0.21015280827875044,0,0.20140072973460818,7,0.20783517421714315,2,0.16210637001204087
10,Site B Clean Power Co. Recycling,8,India,Air Pollution Reduction,NGO,2001,2024-06-04,121464.0,656854.0,100739.0,856503.0,442614.0,112627.0,206492.0,593204.0,,,7,0.21850491775745717,9,0.21015280827875044,4,0.20140072973460818,9,0.20783517421714315,1,0.16210637001204087,10,0.21850491775745717,4,0.21015280827875044,1,0.20140072973460818,6,0.20783517421714315,1,0.16210637001204087,5,0.21850491775745717,1,0.21015280827875044,2,0.20140072973460818,10,0.20783517421714315,10,0.16210637001204087,3,0.21850491775745717,1,0.21015280827875044,4,0.20140072973460818,4,0.20783517421714315,5,0.16210637001204087,9,0.21850491775745717,0,0.21015280827875044,0,0.20140072973460818,4,0.20783517421714315,7,0.16210637001204087
11,East Pure Planet Eco-Friendly,8,Spain,Carbon Capture,Community Group,2007,2024-06-04,901613.0,275247.0,849646.0,332291.0,588664.0,615143.0,647554.0,400818.0,,,9,0.21850491775745717,8,0.21015280827875044,6,0.20140072973460818,5,0.20783517421714315,4,0.16210637001204087,0,0.21850491775745717,4,0.21015280827875044,9,0.20140072973460818,2,0.20783517421714315,3,0.16210637001204087,7,0.21850491775745717,8,0.21015280827875044,5,0.20140072973460818,10,0.20783517421714315,5,0.16210637001204087,1,0.21850491775745717,4,0.21015280827875044,7,0.20140072973460818,5,0.20783517421714315,1,0.16210637001204087,0,0.21850491775745717,8,0.21015280827875044,8,0.20140072973460818,5,0.20783517421714315,9,0.16210637001204087
12,EarthFirst Energy Recycling Site A,10,Italy,Waste-to-Energy,Community Group,2005,2024-06-04,944946.0,930409.0,562445.0,472350.0,364978.0,377237.0,885202.0,462546.0,484376.0,397519.0,9,0.21850491775745717,5,0.21015280827875044,1,0.20140072973460818,1,0.20783517421714315,5,0.16210637001204087,6,0.21850491775745717,0,0.21015280827875044,3,0.20140072973460818,4,0.20783517421714315,0,0.16210637001204087,0,0.21850491775745717,9,0.21015280827875044,7,0.20140072973460818,7,0.20783517421714315,3,0.16210637001204087,9,0.21850491775745717,5,0.21015280827875044,2,0.20140072973460818,2,0.20783517421714315,2,0.16210637001204087,9,0.21850491775745717,3,0.21015280827875044,1,0.20140072973460818,0,0.20783517421714315,9,0.16210637001204087
13,Hydro Site A EarthFirst Energy,6,South Korea,Energy Efficiency,Non-Profit Organization,2001,2024-06-04,656914.0,807944.0,597121.0,744518.0,319332.0,613293.0,,,,,8,0.21850491775745717,5,0.21015280827875044,10,0.20140072973460818,9,0.20783517421714315,7,0.16210637001204087,7,0.21850491775745717,2,0.21015280827875044,9,0.20140072973460818,10,0.20783517421714315,9,0.16210637001204087,0,0.21850491775745717,9,0.21015280827875044,1,0.20140072973460818,9,0.20783517421714315,3,0.16210637001204087,4,0.21850491775745717,3,0.21015280827875044,2,0.20140072973460818,8,0.20783517421714315,1,0.16210637001204087,2,0.21850491775745717,10,0.21015280827875044,1,0.20140072973460818,2,0.20783517421714315,4,0.16210637001204087
14,Reserve ClimateCare Ltd. Hydro,10,Mexico,Waste-to-Energy,Government Agency,2002,2024-06-04,363767.0,446031.0,755192.0,522706.0,530602.0,336285.0,507022.0,191352.0,247857.0,427423.0,10,0.21850491775745717,7,0.21015280827875044,0,0.20140072973460818,1,0.20783517421714315,2,0.16210637001204087,9,0.21850491775745717,5,0.21015280827875044,3,0.20140072973460818,0,0.20783517421714315,9,0.16210637001204087,10,0.21850491775745717,8,0.21015280827875044,7,0.20140072973460818,6,0.20783517421714315,3,0.16210637001204087,8,0.21850491775745717,8,0.21015280827875044,4,0.20140072973460818,3,0.20783517421714315,3,0.16210637001204087,6,0.21850491775745717,4,0.21015280827875044,7,0.20140072973460818,9,0.20783517421714315,10,0.16210637001204087
15,Eco-Friendly GreenTech Inc. Site D,3,France,Water Conservation,NGO,2004,2024-06-04,726147.0,257805.0,745631.0,,,,,,,,10,0.21850491775745717,6,0.21015280827875044,5,0.20140072973460818,4,0.20783517421714315,8,0.16210637001204087,6,0.21850491775745717,7,0.21015280827875044,3,0.20140072973460818,2,0.20783517421714315,9,0.16210637001204087,9,0.21850491775745717,2,0.21015280827875044,5,0.20140072973460818,3,0.20783517421714315,2,0.16210637001204087,3,0.21850491775745717,1,0.21015280827875044,2,0.20140072973460818,9,0.20783517421714315,6,0.16210637001204087,4,0.21850491775745717,6,0.21015280827875044,1,0.20140072973460818,4,0.20783517421714315,9,0.16210637001204087
16,Nature's Way Biofuel Site A,10,Turkey,Air Pollution Reduction,Private Company,2002,2024-06-04,664250.0,802715.0,480961.0,226871.0,771849.0,717920.0,348740.0,867667.0,691218.0,597794.0,6,0.21850491775745717,0,0.21015280827875044,10,0.20140072973460818,8,0.20783517421714315,2,0.16210637001204087,2,0.21850491775745717,5,0.21015280827875044,3,0.20140072973460818,7,0.20783517421714315,2,0.16210637001204087,6,0.21850491775745717,2,0.21015280827875044,4,0.20140072973460818,0,0.20783517421714315,8,0.16210637001204087,8,0.21850491775745717,1,0.21015280827875044,2,0.20140072973460818,2,0.20783517421714315,2,0.16210637001204087,3,0.21850491775745717,3,0.21015280827875044,2,0.20140072973460818,9,0.20783517421714315,3,0.16210637001204087
